	Item	Location	Item	Location	Item	Location	Item	Location				
Dizengoff hummus	Hummus	Dizengodd										
" My fav falafel is Goldie, Alyans is also great. I just had the cheesesteak from Algorithm food truck last week and it may be the best cheesesteak I’ve ever had."	Falafel	Goldie	Cheesesteak	Algorithm	Falafel	Alyans						
"Just piling on the praise for Goldie. The falafel itself didn't necessarily stand out, it's great but that's one of those items that is reliably good wherever you go. ||But the falafel sandwhich with fries is incredible. Their tahina shakes are better than most dairy shakes I've had. Very highly reccomend that place."	Falafel sandwich	Goldie	Tahini shake	Goldie								
"Saad’s falafel over Goldie. Get the wrap with garlic sauce instead of hummus or tehini, extra pickles."	Saad's Falafel	Goldie										
"Sticking with the Han Dynasty theme from the other thread, the cucumbers in chili oil are . And any of the dips at Suraya."	Cucumbers in chili oil	Han Dynasty	Dips	Suraya								
I went to Vedge and they had a stuffed avocado that was so freakin good. Pretty much all of Vedge's menu	Stuffed avocado	Vedge										
"The crispy hip city ranch sandwich is the best chicken sandwich, and it's not even chicken"	Crispy ranch sandwich	Hip city veg										
For me I love Unit Su Vege all veg dim sum with hundreds of options. Their roasted veg duck Peking style is really good (although I've never had real duck).	All veg dim sum	Unit Su Vege	Veg peking duck	Unit Su Vege								
Used to be the vegan chicken cheese steak at Govinda's/Gourmet 2 Go. If I knew that place was gonna close I would've gone a few more times. Even when it got crazy expensive it was still worth it!	Vegan chicken cheesesteak	Govinda's										
"Just outside the city, I'm currently addicted to the spicy chik'n sandwich at PLNT Burger in the Wynnewood Whole Foods. It is perfect. They also have particularly good fries and softserve."	Spicy chik'n sandwich	PLNT Burger										
"Pizza! ||20th St. pizza is all vegan and they make their own sauces from scratch. ||Vegan meatball sandwitch from Porcos, everthing but the sauce made in house."	Pizza	20th st pizza	Vegan meatball sandwich	Porcos								
idk if it’s the best but the falafel sandwich + fries at goldie are amazing	Falafel sandwich	Goldie										
"This use to be a slam dunk answer for me - Cedar Point Veggie Wings, but when the pandemic started they switched to using a super shitty seitan, it’s 50/50 if they’ll have enough sauce on them, and a 50/50 chance they’ll be over cooked and have a burnt taste because of the brussel sprouts. LOOK HOW THEY MASSACRED MY BOY! ||Now my answer is a toss up between the Malai Kofta from Ekta or the Spicy DanDan Noodles from Vedge."	Malai Kofta	Ekta	Spicy DanDan Noodles	Vedge								
Thousand layer bread with potato curry dip at Rangoon (RIP)	Thousand layer dip	Rangoon										
"The best vegan thing in philly right now is a burger in Point Breeze — Second District Brewing’s Vegan Smash Burger. Also I loooove the Dirty Jerz sandwich at The Tasty. 20th street pizza is far and away the best pizza in town (better than bedia or whatever hype pie is hot atm imo). The Bahn Mi sub from Fu-Wah is a classic in the vegan community. But the all vegan platter at Hardena is my vegan comfort food, which makes it my favorite. It’s unreal. There’s a reason it’s been on TV."	Vegan smash burger	Second District Brewing										
The beet salad and the twice cooked eggplant at Zahav are tied for me.	Twice cooked eggplant	Zahav	Beet salad	Zahav								
i miss Blackbird and their ‘wings’	wings	blackbird										
Falafel from the halal cart outside the dunkin in Roxborough is 	Falafel	Roxborough Halal Cart										
Dosa from Ammas	Dosa	Ammas										
Cauliflower steak at Charlie was a sinner.	Cauliflower steak	Charlie was a sinner										
Noori Tofu at Su Xing house	Noori Tofu	Su Xing house										
The veggie combo at Abyssinia. ||Anything at Vedge. ||All of the salitims (appetizers that come with every meal) at Laser Wolf.	Veggie combo	Abyssinia	anything	vedge	Salitims	Laser Wolf						
You can't go wrong with any sandwich from Luhv in Reading Terminal	Any sandwich	Luhv										
"i love banh mi, so for me its the lemongrass tofu banh mi from QT or literally any of the veggie banh mi from ba le"	Lemongrass tofu banh mi	QT	Veggie banh mi	Ba Le								
"They've sadly closed but Kabul had a dumpling sample platter that was outstanding. I think Ariana has something similar, but I haven't been there in ages. ||Afghan food in general is amazing, underrated and very vegetarian-friendly."	Dumpling sample platter	Kabul										
Same answer as before: tofu satay at Penang	Tofu Satay	Penang										
The garlic fried eggplant at Chengdu Famous Food	Garlic fried eggplant	Chengdu Famous Food										
"You already know the good word about triangle tavern, but the vegan cheesesteak at good dog bar is also really solid."	Vegan Cheesesteak	good dog bar										
"im not a vegetarian or vegan just a very picky eater when it comes to meat lol, so i can give you two of my non meat faves:||&#x200B;||hand drawn peanut noodles with chili oil at Nan Zhou in Chinatown||&#x200B;||tomato pie from Beddia||&#x200B;||edit: also the potato latkes from Dibruno"	peanut noodles with chili oil	Nan Zhou	Tomato pie	Beddia	Potato Latkes	Dibruno						
"The veggie buffalo chicken pizza from Pizza Plus is amazing as someone who loves buffalo chicken everything. For some reason they fall for the same fallacy many places do and use ranch instead of blue cheese; gotta have them sub it out.. If it's buff, it's gotta be blue.||Also south philly tap room vegan buff wings - but they have to be sliced thin, extra sauce, and ask to fry them jawns hard. They look at me like crazy and the slice is really luck of the draw but it make all the difference.||Edit - for cheesesteak, the best I've had so far was Campos impossible, but you can basically make this at home with little effort. Triangle Tavern is meh IMO but their meatball with sharp prov is the the jam."	Veggie buffalo chicken pizza	pizza plus	Vegan buffalo wings	South philly tap room	Impossible Cheesesteak	Campos						
"Seitan wings, also Triangle Tavern,  Hands-down the gold standard in vegan wings."	Seitan wings	Triangle Tavern										
"any item, any day, any time of year at Vedge."	anything	Vedge										
"The seared maitake mushroom and celery root fritter at Vedge, although it doesn't seem to be on the menu at the moment. It's hard to choose though, Philadelphia is teeming with great vegan/vegetarian food."	Maitake mushroom and celery root fritter	Vedge										
"Unit Su Vege, the bao buns, roast pork…really everything there is amazing"	Bao buns	Unit Su Vege	Roast Pork	Unit Su Vege								
"Everything at Primary Plant based. Their menu changes frequently, so go often to try it all!"	Anything	Primary Plant based										
vegan jawn at martha is amazing. I can’t tell you how many I have eaten over the last few years.	vegan jawn	martha										
I've never had a bad thing from tattooed mom's vegan menu. The cheese they use for their sandwiches is some of the best vegan cheese I've had.||Definitely saving this thread though for some good veggie/vegan options the next time my friend tries to drag me to Goldie	anything	tattoed mom										
"Got a screamin' V chicken sando at triangle yesterday, also had a great po'boy at khyber recently. Same company, food at both places best its ever been. ||Tofu Cheesecake at More Sugar is 10/10||Mapo tofu (- pork) from Nan Zhou Hand drawn noodles||Any Hardena vegan option ||Falafel at Liberty Choice||I realize that this was supposed to be 1 option but fight me."	Screamin' V chicken sandwich	Triangle Tavern	po'boy	khyber	tofu cheesesteak	More Sugar	Mapo tofu	Nan Zhou				
Phoagie at middle child!	Phoagie	Middle child										
Salatim at Laserwolf and it isn't close	Salatim	Laserwolf										
"Used to be the steamed bun at New Harmony, RIP. The sticky pickled peach sandwich from Algorithm is amazing, I also love burgers from PLNT Burger right now."	Steamed bun	New Harmony	Sticky pickled peach sandwich	Algorithm	Burgers	PLNT Burger						
El camino’s seitan wings are AMAZING. Like just order them every time you go regardless of what else you order.	Seitan wings	El Camino										
"I don't think the place exists anymore, but New Harmony Vegetarian in Chinatown had a mock duck dish that remains the single best food I've ever had in my life that wasn't real fried chicken or steak."	Mock duck	New Harmony										
"* hands down best vegan meal is at miss rachel's pantry, liked it way more than vedge and the vibe there is incredible|* haymaker pizza from 20th street pizza, just get it|* whatever burrito from tacotacomexican in west philly, used to be an all vegan place called honest toms and the owner sold it to the employees so they kept a few of the vegan options|* mama's vegetarian was the best falafel :'( goldie is good, theres a place in reading terminal called Jamals or something that was pretty decent too|* 2nd district brewery has some good stuff but honestly I go there for the spicy cauliflower bites. if you make a reservation at miss rachel's, this is right around the corner so you can get some drinks beforehand|* pretty hyped to try chatayee thai"	Haymaker pizza	20th st pizza	Any burrito	Tacotacomexican	Falafel	Mom's vegetarian	Spicy Cauliflower bites	Miss Rachel's				
"This may be cheating but I recently had the ""meatball"" at Charlie was a Sinner and it was friggin delicious. Their sliders were great as well. For context, I'm a meat-eater who never really gave much thought to plant-based restaurants."	Meatball	Charlie was a sinner										
"Idk if it is the best, but the beet salad at the POPE is pretty good."	Beet salad	POPE (Pub on Passyunk East)										
"Recently, I think the Grizzli at Grindcore House (West). The biscuit is just so rich and satisfying, and I don't know how they get Tofu to taste like that.   |||Thanks for posting this question! I was scrolling through the last one and read like 10 pork shoulders before seeing something vegan "	Grizzli	Grindcore house										
"Tonarelli cacio e pepe, Fiorella's.||Plain pie, Pizzeria Beddia."	Tanrelli cacio e pepe	Fiorella	Plain pie	Pizzeria Beddia								
Cheese slice from Randazzos	Cheese slice	Randazzos										
Su Xing's General Tso Seitan!	General Tso Seitan	Su Xing										
